Variable,Original_Value,Encoded_Value
Rpt Dist No,1001,0
Rpt Dist No,1003,1
Rpt Dist No,1004,2
Rpt Dist No,1005,3
Rpt Dist No,1006,4
Rpt Dist No,1007,5
Rpt Dist No,1008,6
Rpt Dist No,1009,7
Rpt Dist No,101,8
Rpt Dist No,1011,9
Rpt Dist No,1012,10
Rpt Dist No,1013,11
Rpt Dist No,1014,12
Rpt Dist No,1015,13
Rpt Dist No,1016,14
Rpt Dist No,1017,15
Rpt Dist No,1018,16
Rpt Dist No,1019,17
Rpt Dist No,1021,18
Rpt Dist No,1022,19
Rpt Dist No,1023,20
Rpt Dist No,1024,21
Rpt Dist No,1025,22
Rpt Dist No,1027,23
Rpt Dist No,1028,24
Rpt Dist No,1029,25
Rpt Dist No,1031,26
Rpt Dist No,1032,27
Rpt Dist No,1033,28
Rpt Dist No,1034,29
Rpt Dist No,1035,30
Rpt Dist No,1036,31
Rpt Dist No,1037,32
Rpt Dist No,1039,33
Rpt Dist No,1041,34
Rpt Dist No,1042,35
Rpt Dist No,1043,36
Rpt Dist No,1044,37
Rpt Dist No,1045,38
Rpt Dist No,1046,39
Rpt Dist No,1047,40
Rpt Dist No,1048,41
Rpt Dist No,1049,42
Rpt Dist No,105,43
Rpt Dist No,1053,44
Rpt Dist No,1061,45
Rpt Dist No,1063,46
Rpt Dist No,1065,47
Rpt Dist No,1067,48
Rpt Dist No,1068,49
Rpt Dist No,1075,50
Rpt Dist No,1077,51
Rpt Dist No,1078,52
Rpt Dist No,1079,53
Rpt Dist No,1083,54
Rpt Dist No,1087,55
Rpt Dist No,1088,56
Rpt Dist No,1089,57
Rpt Dist No,109,58
Rpt Dist No,1091,59
Rpt Dist No,1094,60
Rpt Dist No,1097,61
Rpt Dist No,1098,62
Rpt Dist No,1099,63
Rpt Dist No,1101,64
Rpt Dist No,1102,65
Rpt Dist No,1105,66
Rpt Dist No,1107,67
Rpt Dist No,1109,68
Rpt Dist No,111,69
Rpt Dist No,1112,70
Rpt Dist No,1113,71
Rpt Dist No,1115,72
Rpt Dist No,1116,73
Rpt Dist No,1117,74
Rpt Dist No,1118,75
Rpt Dist No,1119,76
Rpt Dist No,112,77
Rpt Dist No,1122,78
Rpt Dist No,1123,79
Rpt Dist No,1124,80
Rpt Dist No,1125,81
Rpt Dist No,1126,82
Rpt Dist No,1127,83
Rpt Dist No,1128,84
Rpt Dist No,1129,85
Rpt Dist No,1132,86
Rpt Dist No,1133,87
Rpt Dist No,1134,88
Rpt Dist No,1135,89
Rpt Dist No,1136,90
Rpt Dist No,1137,91
Rpt Dist No,1138,92
Rpt Dist No,1139,93
Rpt Dist No,1141,94
Rpt Dist No,1142,95
Rpt Dist No,1143,96
Rpt Dist No,1144,97
Rpt Dist No,1145,98
Rpt Dist No,1146,99
Rpt Dist No,1147,100
Rpt Dist No,1148,101
Rpt Dist No,1149,102
Rpt Dist No,1151,103
Rpt Dist No,1152,104
Rpt Dist No,1153,105
Rpt Dist No,1157,106
Rpt Dist No,1158,107
Rpt Dist No,1159,108
Rpt Dist No,1161,109
Rpt Dist No,1162,110
Rpt Dist No,1163,111
Rpt Dist No,1169,112
Rpt Dist No,1171,113
Rpt Dist No,1172,114
Rpt Dist No,1173,115
Rpt Dist No,1174,116
Rpt Dist No,1175,117
Rpt Dist No,1176,118
Rpt Dist No,1177,119
Rpt Dist No,1178,120
Rpt Dist No,1179,121
Rpt Dist No,118,122
